K1 Pt                          K2 Pt                           Phi Pt                         Delta Pt
4.7171038460e-02               1.7783179002e-01               1.9364545690e-01               3.1357371583e-02
2.5328266181e-01               1.3740543126e-02               2.4853048086e-01               1.8492724074e-02
2.7136056843e-01               2.3388670545e-01               4.8586414825e-01               1.9383125627e-02
5.1581118373e-01               4.1454280723e-01               9.0539610773e-01               2.4957883226e-02
5.9148992275e-01               5.4907845037e-01               1.1126285133e+00               2.7939859775e-02
2.6779074980e-01               2.6448194878e-01               5.0158897585e-01               3.0683722724e-02
4.2172168244e-01               5.6978658592e-01               9.8051017234e-01               1.0998096019e-02
2.3004322001e-01               7.9435660589e-02               2.8231007640e-01               2.7168804200e-02
4.2941786110e-01               2.5778288945e-01               6.5287306750e-01               3.4327683056e-02
3.1754801814e-01               2.8887933235e-01               5.7426747335e-01               3.2159877149e-02
5.2090590995e-02               6.0127340162e-02               8.4376105756e-03               1.0378032058e-01
3.2736782231e-01               2.7592199052e-01               5.9286173116e-01               1.0428081673e-02
4.6543179013e-01               2.6240697753e-01               7.0039518096e-01               2.7443586700e-02
9.3317426845e-02               1.4810372954e-01               2.1357353893e-01               2.7847617456e-02
1.5473001089e-01               1.3767671254e-01               2.3712840987e-01               5.5278313556e-02
6.8597209644e-01               4.9377469575e-01               1.1599222182e+00               1.9824573987e-02
5.6221902867e-01               8.2835164619e-01               1.3754833060e+00               1.5087368821e-02
7.0952678007e-01               4.2580269090e-01               1.1220333685e+00               1.3296102430e-02
1.4044669355e-01               1.3624592283e-01               1.1624381453e-01               1.6044880185e-01
3.2137325224e-01               7.4878529476e-02               3.7899142840e-01               1.7260353316e-02
7.6492724555e-02               8.1011155269e-02               6.5073745965e-03               1.5099650523e-01
8.5661359232e-02               3.2526356751e-02               1.0272320080e-01               1.5464515181e-02
1.3657789210e-01               1.0387177808e-01               5.7657366074e-02               1.8279230410e-01
4.1265670442e-01               4.7851075578e-01               8.5515099928e-01               3.6016460922e-02
1.3974967187e-01               1.9348541794e-01               2.8722832619e-01               4.6006763623e-02
2.6987924979e-01               1.0883559571e-01               3.5825739281e-01               2.0457452691e-02
6.0910379628e-01               5.5315294248e-01               1.1468563793e+00               1.5400359422e-02
1.4387686211e-01               3.9370629548e-01               5.2329005422e-01               1.4293103378e-02
6.1182850031e-01               7.3495003594e-01               1.3252040659e+00               2.1574470319e-02
1.7990628129e-01               1.5771938512e-01               2.6204852478e-01               7.5577141633e-02
4.4633005043e-01               6.7647198001e-01               1.1035920336e+00               1.9209996833e-02
5.5098311840e-02               1.7552605716e-01               1.2366534030e-01               1.0695902870e-01
3.9739054373e-01               5.1793504205e-01               8.8610391891e-01               2.9221666865e-02
6.6060374377e-01               7.9235122018e-01               1.4319272505e+00               2.1027713434e-02
2.0027603176e-01               3.4860338218e-01               5.0215730671e-01               4.6722107227e-02
8.9485954167e-01               7.2855837331e-01               1.6063201836e+00               1.7097731371e-02
3.5692853461e-02               1.8477987146e-01               2.0624185327e-01               1.4230871652e-02
1.7950685444e-01               4.1757819797e-02               1.5307477862e-01               6.8189895610e-02
1.0956145993e-01               1.5345454717e-01               7.6701050905e-02               1.8631495619e-01
2.8170287361e-02               1.1049690605e-01               1.1626539604e-01               2.2401797373e-02
8.2145467857e-02               1.9890876310e-01               1.9099672913e-01               9.0057501826e-02
4.7100567851e-02               7.5327995567e-02               2.8418477453e-02               9.4010085965e-02
2.1564739843e-01               1.8515215714e-01               3.1858666650e-01               8.2212889067e-02
1.1531203739e-01               1.5365353356e-01               1.1382078051e-01               1.5514479043e-01
1.2590307784e-01               5.7436110584e-02               9.4067942672e-02               8.9271245754e-02
6.1077390236e-01               6.9773057035e-01               1.2952412300e+00               1.3263242697e-02
3.0667974032e-01               1.0038494600e-01               3.7282503768e-01               3.4239648638e-02
3.3806486963e-02               1.1699572849e-01               1.2519691720e-01               2.5605298255e-02
2.6389005599e-01               2.8943437519e-01               4.9191772934e-01               6.1406701843e-02
2.1486576648e-01               7.6186088236e-02               2.7631924108e-01               1.4732613641e-02
2.5293146583e-01               2.9551959679e-01               5.2559375333e-01               2.2857309291e-02
2.5502057862e-01               5.3885479260e-02               2.6558861437e-01               4.3317443505e-02
3.0270669871e-01               1.7527139520e-01               4.2805472244e-01               4.9923371466e-02
4.9589932228e-01               6.3537886971e-01               1.1083152773e+00               2.2962914670e-02
2.0687131382e-01               3.2215893878e-01               5.1415098873e-01               1.4879263868e-02
2.2629803986e-01               3.2391473254e-01               5.1155249862e-01               3.8660273777e-02
1.8403683113e-01               1.6391315274e-01               2.3689773081e-01               1.1105225306e-01
7.6075262842e-01               7.3054150220e-01               1.4699004947e+00               2.1393635960e-02
2.9097294562e-01               2.8192877476e-01               5.5391381426e-01               1.8987906130e-02
2.4975590275e-02               1.1353415128e-01               1.0208893468e-01               3.6420806869e-02
2.6708896182e-01               1.0654917940e-01               3.6325647999e-01               1.0381661221e-02
1.6494124317e-01               2.9419828930e-01               4.3420543652e-01               2.4934095959e-02
